                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.81433,                0.54765,                0.89848,                0.98212,                0.74532,                0.89705,                0.80562,                0.66983,                0.78065,                 0.5967,                0.88827,                0.55616,                0.90527,                0.95658,                0.68937,                0.89291,             0.00042012,             0.00042012,             0.00042012
                     64,                0.78798,                0.54723,                 0.8883,                0.96829,                0.73724,                0.88801,                0.66809,                0.74507,                0.79271,                0.60102,                0.90076,                0.53376,                0.90271,                0.98884,                0.68346,                 0.8939,             0.00041838,             0.00041838,             0.00041838
                     65,                0.80291,                0.51642,                 0.8822,                 0.9961,                0.67947,                0.88948,                0.84819,                0.73068,                0.84181,                0.63688,                0.86638,                0.52068,                0.89832,                0.94979,                0.67994,                 0.8905,             0.00041664,             0.00041664,             0.00041664
                     66,                0.81879,                0.55252,                0.87989,                 1.0094,                0.74715,                0.88533,                0.72649,                0.74275,                0.79882,                0.60041,                0.88208,                0.54818,                0.90123,                0.96551,                0.69855,                0.89619,             0.00041491,             0.00041491,             0.00041491
                     67,                0.77666,                0.51267,                0.87705,                 0.9586,                0.68994,                0.88158,                0.69979,                0.75078,                0.78666,                0.59295,                0.89191,                0.57851,                0.90444,                0.97752,                0.71973,                 0.8978,             0.00041317,             0.00041317,             0.00041317
                     68,                0.79227,                0.51394,                0.87662,                0.97883,                0.70674,                0.87978,                0.74303,                0.70149,                0.75936,                0.56895,                0.91563,                 0.5878,                0.90396,                 1.0082,                0.71888,                0.89862,             0.00041144,             0.00041144,             0.00041144
                     69,                0.79647,                0.51935,                0.89231,                0.96329,                0.67997,                0.89062,                0.85778,                0.70335,                0.80843,                 0.6172,                0.91202,                0.57695,                0.91325,                0.98888,                0.73645,                0.90497,              0.0004097,              0.0004097,              0.0004097
                     70,                0.77424,                0.51982,                0.88373,                0.93445,                0.72959,                0.88876,                0.76386,                 0.6489,                0.72014,                0.55759,                0.90885,                 0.6307,                0.92175,                 1.0091,                0.81042,                0.90982,             0.00040797,             0.00040797,             0.00040797
                     71,                0.78929,                 0.5243,                0.88347,                0.97641,                 0.7197,                0.88572,                0.86546,                0.69238,                0.81374,                0.60999,                0.87081,                0.56118,                0.89836,                0.97883,                0.71167,                0.89655,             0.00040623,             0.00040623,             0.00040623
                     72,                0.79478,                0.51404,                0.88298,                0.98949,                 0.6919,                0.89267,                 0.8496,                0.66053,                0.75545,                0.57815,                 0.8598,                0.60307,                0.89236,                0.96691,                0.75493,                0.89226,             0.00040449,             0.00040449,             0.00040449
                     73,                0.77873,                0.49658,                0.87985,                0.94927,                0.65975,                0.88495,                0.73861,                0.63484,                0.73393,                0.55862,                0.87506,                0.61143,                0.90001,                 0.9635,                0.78909,                0.89163,             0.00040276,             0.00040276,             0.00040276
                     74,                0.77622,                0.50555,                0.86513,                0.95725,                0.66147,                0.87262,                0.68926,                0.70565,                 0.7671,                0.58067,                0.87974,                0.60463,                0.90357,                0.98156,                0.74669,                0.89807,             0.00040102,             0.00040102,             0.00040102
                     75,                0.77771,                0.50712,                0.87668,                0.97145,                   0.68,                0.87986,                0.70639,                0.78475,                0.81069,                0.63095,                0.88644,                0.55615,                0.90726,                0.96838,                0.69789,                0.89315,             0.00039929,             0.00039929,             0.00039929
                     76,                0.78563,                 0.4981,                0.89241,                0.95398,                0.64609,                0.88841,                0.77396,                0.71972,                0.80693,                0.61942,                0.88511,                0.57882,                0.90479,                0.97186,                0.69257,                0.89456,             0.00039755,             0.00039755,             0.00039755
                     77,                0.77706,                0.48807,                0.87683,                0.95058,                 0.6214,                0.87539,                0.83056,                0.60785,                0.77441,                0.60164,                0.87746,                0.60201,                0.90136,                0.96862,                0.73579,                0.89415,             0.00039581,             0.00039581,             0.00039581
                     78,                0.79329,                0.49775,                0.87435,                0.96219,                0.62606,                0.86981,                0.79491,                0.73231,                0.79546,                0.59755,                0.86473,                0.55138,                0.89145,                0.97432,                0.67269,                0.88849,             0.00039408,             0.00039408,             0.00039408
                     79,                0.76155,                0.49496,                0.87687,                 0.9356,                0.62615,                0.87844,                 0.7071,                0.75776,                0.75643,                0.57714,                0.88133,                0.59979,                0.90332,                0.97698,                0.73037,                0.89787,             0.00039234,             0.00039234,             0.00039234
                     80,                0.75891,                0.49112,                 0.8793,                0.93256,                0.62644,                 0.8757,                0.83612,                0.67908,                0.79267,                0.61682,                0.85953,                0.57309,                0.89961,                0.94316,                0.68245,                0.89295,             0.00039061,             0.00039061,             0.00039061
                     81,                0.75633,                0.49994,                0.87933,                0.92811,                0.64126,                0.88076,                0.72843,                0.67887,                 0.7547,                0.58134,                0.88233,                0.54464,                0.89971,                0.93881,                0.66658,                0.89065,             0.00038887,             0.00038887,             0.00038887
                     82,                  0.783,                0.52156,                0.87956,                0.97028,                0.66621,                0.88611,                0.86896,                0.61508,                0.75448,                0.57283,                0.89722,                0.56675,                0.90497,                0.98516,                0.69154,                0.89344,             0.00038714,             0.00038714,             0.00038714
                     83,                0.77145,                 0.5199,                0.88986,                0.93655,                 0.6568,                0.88763,                0.77882,                0.70322,                0.77704,                0.59549,                0.87268,                0.55375,                0.89917,                 0.9665,                0.63834,                0.89328,              0.0003854,              0.0003854,              0.0003854
                     84,                0.73986,                0.48865,                0.87883,                0.90104,                 0.6138,                0.87993,                0.84618,                0.67746,                0.84315,                0.63794,                0.87802,                0.54541,                0.90381,                0.94686,                0.63339,                0.89364,             0.00038366,             0.00038366,             0.00038366
