                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 0.7087,                0.45977,                0.86473,                0.88525,                0.59415,                 0.8648,                0.87718,                 0.7068,                0.85822,                0.65206,                0.90801,                0.51419,                0.90418,                0.97834,                0.64414,                0.88975,             0.00028386,             0.00028386,             0.00028386
                     96,                0.69915,                0.44682,                0.85945,                0.85529,                0.56119,                 0.8568,                0.81783,                0.77819,                0.81941,                0.62238,                0.86457,                0.48093,                0.88771,                0.95523,                0.64438,                0.88115,             0.00028125,             0.00028125,             0.00028125
                     97,                0.71008,                0.44718,                0.87334,                0.86991,                0.57368,                0.87349,                0.87082,                0.73534,                0.81292,                0.62802,                0.87631,                0.49195,                0.89244,                0.95467,                0.62153,                0.88635,             0.00027865,             0.00027865,             0.00027865
                     98,                0.71548,                0.46337,                0.86438,                0.89825,                0.59175,                0.86162,                0.80304,                0.82027,                0.86821,                0.65691,                0.88142,                0.47538,                0.89276,                  0.958,                0.58421,                0.88778,             0.00027604,             0.00027604,             0.00027604
                     99,                0.70318,                0.44801,                0.85966,                0.88881,                0.58808,                0.85992,                0.85903,                0.75988,                0.84777,                 0.6285,                0.86708,                0.49827,                0.88976,                0.97462,                0.62108,                0.88679,             0.00027344,             0.00027344,             0.00027344
                    100,                 0.6909,                0.42997,                0.86385,                0.88469,                0.54872,                0.86902,                0.80621,                0.74794,                0.85179,                0.62691,                0.86829,                0.48934,                0.89119,                0.95159,                0.60651,                0.88466,             0.00027084,             0.00027084,             0.00027084
                    101,                  0.731,                0.46276,                0.86788,                0.90129,                 0.5955,                0.87004,                0.86372,                0.75686,                0.85698,                0.65266,                0.86856,                0.48612,                0.88992,                0.95256,                0.57782,                0.88483,             0.00026823,             0.00026823,             0.00026823
                    102,                0.68792,                0.43338,                0.85972,                0.85154,                0.54272,                0.86165,                0.81022,                 0.7829,                0.84264,                 0.6375,                0.88438,                0.48362,                0.89303,                0.95512,                0.56483,                0.88481,             0.00026563,             0.00026563,             0.00026563
                    103,                0.69794,                0.42789,                0.85406,                0.86993,                0.52693,                 0.8526,                0.85822,                0.71134,                0.84502,                 0.6362,                0.87659,                0.48627,                0.89041,                0.94909,                0.56509,                0.88583,             0.00026303,             0.00026303,             0.00026303
                    104,                0.71177,                0.43528,                0.86662,                 0.8918,                0.55163,                0.87152,                0.81751,                0.82017,                0.87109,                 0.6518,                0.87965,                0.48504,                0.89389,                0.95374,                0.56192,                0.88462,             0.00026042,             0.00026042,             0.00026042
                    105,                0.70862,                0.45376,                0.86545,                0.88354,                0.55881,                0.86352,                0.84035,                0.71723,                0.82764,                0.62538,                0.86578,                 0.4843,                0.88749,                0.95415,                0.57479,                 0.8844,             0.00025782,             0.00025782,             0.00025782
                    106,                0.69876,                0.42847,                0.85813,                0.84687,                0.53759,                 0.8563,                 0.8253,                0.76795,                0.83463,                0.64534,                0.86652,                0.48791,                0.89247,                0.94716,                0.58821,                0.88574,             0.00025522,             0.00025522,             0.00025522
