epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,915.259,0.71143,0.44244,0.8623,0.83197,0.85119,0.89682,0.68627,0.88253,0.53141,0.89285,0.000350684,0.000350684,0.000350684
103,924.334,0.72718,0.45001,0.86225,0.86532,0.86728,0.89726,0.69549,0.84762,0.48372,0.88919,0.000348948,0.000348948,0.000348948
104,933.107,0.73526,0.45054,0.87041,0.84402,0.89543,0.90967,0.6924,0.87847,0.48175,0.89425,0.000347213,0.000347213,0.000347213
105,942.071,0.70884,0.4497,0.86861,0.88719,0.81465,0.90285,0.69293,0.87158,0.52721,0.89098,0.000345477,0.000345477,0.000345477
106,950.967,0.71359,0.44859,0.86208,0.87827,0.81868,0.89802,0.695,0.83856,0.48332,0.88364,0.000343741,0.000343741,0.000343741
107,959.789,0.69801,0.44338,0.85212,0.86331,0.82398,0.90312,0.6941,0.8528,0.47219,0.88729,0.000342005,0.000342005,0.000342005
108,968.61,0.69084,0.4289,0.85306,0.89421,0.85387,0.89425,0.68395,0.86833,0.48916,0.89148,0.000340269,0.000340269,0.000340269
109,977.291,0.69736,0.43256,0.86136,0.86408,0.86301,0.90519,0.71071,0.87158,0.48172,0.89248,0.000338534,0.000338534,0.000338534
110,986.272,0.69654,0.43935,0.86079,0.88309,0.86318,0.91237,0.69723,0.83847,0.47135,0.88624,0.000336798,0.000336798,0.000336798
111,995.151,0.70027,0.44371,0.86034,0.84741,0.8917,0.87004,0.66239,0.86102,0.49086,0.89129,0.000335062,0.000335062,0.000335062
112,1003.89,0.71579,0.44185,0.86216,0.77944,0.9023,0.86532,0.66911,0.84127,0.48267,0.88188,0.000333326,0.000333326,0.000333326
113,1012.81,0.69604,0.42718,0.85947,0.83725,0.85573,0.87022,0.66952,0.85385,0.46435,0.88156,0.00033159,0.00033159,0.00033159
