                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.0286,                0.54916,                 1.0043,                 1.2296,                0.57714,                 1.0048,                0.91232,                  0.803,                0.85744,                 0.6326,                0.88976,                0.46521,                0.92417,                  0.986,                0.40127,                0.92265,               0.008284,               0.008284,               0.008284
                     55,                 1.0181,                0.53757,                0.99396,                  1.218,                0.56396,                 0.9971,                0.87781,                0.79567,                0.83727,                0.62622,                0.90682,                 0.4707,                 0.9313,                   1.01,                0.40988,                0.92503,               0.008251,               0.008251,               0.008251
                     56,                 1.0178,                0.54286,                0.99341,                 1.2216,                0.58057,                0.99962,                 0.8729,                0.81472,                0.86666,                0.65413,                0.91301,                0.45363,                0.93386,                 1.0036,                0.40751,                 0.9296,               0.008218,               0.008218,               0.008218
                     57,                 1.0112,                 0.5401,                0.99558,                 1.2096,                0.57796,                 1.0001,                0.93211,                0.77775,                0.86463,                0.64841,                0.91509,                0.42512,                 0.9333,                 1.0131,                 0.3867,                0.93006,               0.008185,               0.008185,               0.008185
                     58,                 1.0023,                0.55466,                0.98867,                 1.1949,                0.59311,                0.99376,                 0.8755,                0.82907,                0.86529,                 0.6527,                0.88661,                0.44103,                0.92295,                0.99767,                0.39427,                0.91794,               0.008152,               0.008152,               0.008152
                     59,                 1.0042,                0.53135,                0.99074,                 1.2034,                0.55697,                0.99521,                0.89588,                0.78999,                0.87026,                0.65275,                0.86846,                0.43808,                0.91369,                0.97696,                0.39158,                 0.9095,               0.008119,               0.008119,               0.008119
                     60,                 1.0021,                0.53559,                0.98719,                 1.2104,                0.57095,                0.99331,                0.91885,                0.80321,                0.85651,                0.64324,                0.88816,                 0.4579,                 0.9272,                 1.0022,                0.38038,                0.92239,               0.008086,               0.008086,               0.008086
                     61,                 0.9896,                0.52392,                0.98399,                 1.1902,                0.53798,                0.99337,                0.90903,                0.78594,                0.87035,                 0.6624,                0.87212,                  0.444,                 0.9102,                0.98042,                0.38361,                0.91018,               0.008053,               0.008053,               0.008053
                     62,                 1.0095,                0.52296,                 0.9895,                 1.2038,                0.55114,                0.99748,                0.89569,                 0.8039,                 0.8557,                0.65314,                0.86396,                0.43597,                 0.9164,                0.96524,                 0.3868,                0.91488,                0.00802,                0.00802,                0.00802
                     63,                0.98528,                0.52245,                0.98687,                 1.1906,                0.55577,                0.99492,                0.87285,                0.84197,                0.89098,                0.66189,                0.87643,                0.41952,                0.92212,                0.96922,                0.37138,                0.91667,               0.007987,               0.007987,               0.007987
                     64,                0.98369,                0.51645,                0.97786,                 1.1702,                0.52913,                0.98438,                0.87455,                0.79659,                0.89008,                0.67802,                0.91234,                0.44928,                 0.9425,                 1.0245,                 0.3881,                0.93574,               0.007954,               0.007954,               0.007954
                     65,                0.98529,                0.52182,                0.98504,                 1.1815,                0.55043,                0.99048,                0.88234,                0.80245,                0.88552,                  0.678,                0.88926,                0.45237,                0.92954,                0.98075,                0.40388,                0.92728,               0.007921,               0.007921,               0.007921
                     66,                0.97766,                 0.5201,                0.97943,                 1.1694,                0.54123,                0.98746,                0.92592,                0.83161,                0.88999,                0.68474,                0.89233,                  0.423,                0.93329,                0.97214,                0.38234,                0.92188,               0.007888,               0.007888,               0.007888
                     67,                0.99508,                0.51805,                 0.9879,                 1.1829,                 0.5467,                0.99072,                0.92983,                0.80671,                0.88131,                0.66911,                0.89269,                0.42895,                0.93192,                0.99479,                0.40423,                0.92793,               0.007855,               0.007855,               0.007855
