                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.65556,                 0.4164,                0.84613,                0.87778,                0.81132,                 0.8815,                0.68877,                0.84372,                0.46867,                0.88259,             0.00033333,             0.00033333,             0.00033333
                    113,                0.67858,                0.43563,                0.83702,                0.83416,                0.88597,                0.90972,                0.70539,                0.84938,                0.45473,                0.88141,             0.00033159,             0.00033159,             0.00033159
                    114,                0.64242,                0.40654,                 0.8399,                0.84352,                0.88221,                0.91257,                0.71606,                0.84846,                0.45745,                0.88329,             0.00032985,             0.00032985,             0.00032985
                    115,                0.65716,                0.41528,                0.84843,                0.85582,                0.88973,                0.93176,                0.70512,                0.84903,                0.44098,                0.88465,             0.00032812,             0.00032812,             0.00032812
                    116,                 0.6547,                 0.4107,                0.84002,                0.82857,                0.89616,                0.89958,                0.70697,                0.84175,                0.45625,                0.88211,             0.00032638,             0.00032638,             0.00032638
                    117,                0.63921,                0.40513,                0.84831,                0.87862,                0.88768,                0.92454,                0.69728,                 0.8558,                0.46585,                0.87993,             0.00032465,             0.00032465,             0.00032465
                    118,                0.65187,                 0.4102,                0.84029,                0.91838,                0.86412,                0.93333,                  0.716,                0.84409,                0.46008,                0.87691,             0.00032291,             0.00032291,             0.00032291
                    119,                0.66201,                 0.4122,                0.85431,                0.88355,                 0.8808,                 0.9281,                0.72602,                0.83897,                0.45343,                0.87955,             0.00032118,             0.00032118,             0.00032118
                    120,                0.65406,                0.41284,                0.85408,                0.86977,                0.90646,                0.93288,                0.70503,                0.85891,                0.44612,                0.88482,             0.00031944,             0.00031944,             0.00031944
                    121,                0.65755,                0.40805,                0.84701,                0.83946,                 0.9213,                0.92274,                0.71246,                0.85795,                0.45612,                0.88607,              0.0003177,              0.0003177,              0.0003177
                    122,                0.65036,                0.41048,                0.84918,                  0.865,                0.88082,                0.91361,                0.71105,                0.82439,                0.45548,                0.87607,             0.00031597,             0.00031597,             0.00031597
                    123,                0.62772,                0.40459,                0.83882,                0.93585,                0.85079,                0.94235,                0.72537,                0.83885,                0.45476,                 0.8811,             0.00031423,             0.00031423,             0.00031423
                    124,                0.64122,                0.40807,                0.84555,                 0.9379,                0.79679,                0.91221,                0.69222,                0.85011,                0.47594,                0.88261,              0.0003125,              0.0003125,              0.0003125
                    125,                0.63913,                 0.3911,                0.84962,                0.86013,                0.84319,                0.90406,                0.70582,                0.83382,                0.46932,                0.87865,             0.00031076,             0.00031076,             0.00031076
                    126,                0.62399,                0.38909,                0.83332,                0.93894,                0.84122,                0.92157,                0.71682,                0.83512,                0.47418,                0.87903,             0.00030902,             0.00030902,             0.00030902
                    127,                0.63506,                0.40654,                 0.8447,                0.93642,                0.85872,                0.94274,                0.71462,                0.85922,                 0.4616,                0.88046,             0.00030729,             0.00030729,             0.00030729
                    128,                0.65267,                0.40525,                0.85119,                0.90343,                0.86872,                0.91563,                0.71012,                0.84043,                0.44449,                0.87972,             0.00030555,             0.00030555,             0.00030555
                    129,                0.62785,                0.38018,                0.82837,                0.83582,                0.89474,                0.92192,                  0.703,                0.83522,                0.43061,                 0.8783,             0.00030382,             0.00030382,             0.00030382
                    130,                0.62797,                0.40125,                0.84379,                0.87495,                0.91767,                0.92592,                0.70902,                0.85366,                0.43741,                0.88043,             0.00030208,             0.00030208,             0.00030208
                    131,                0.60408,                0.38183,                 0.8355,                0.92997,                 0.8495,                0.91979,                0.71478,                0.81915,                0.45936,                0.87285,             0.00030035,             0.00030035,             0.00030035
                    132,                0.62704,                0.38678,                0.84914,                0.85331,                0.87043,                0.89619,                0.69322,                0.83496,                0.47479,                0.87567,             0.00029861,             0.00029861,             0.00029861
                    133,                0.65656,                0.39434,                0.84043,                 0.8498,                0.90581,                0.92489,                0.71871,                0.83696,                 0.4471,                0.87799,             0.00029687,             0.00029687,             0.00029687
                    134,                0.61572,                  0.382,                0.83767,                0.89981,                0.88521,                0.92085,                0.70866,                0.83682,                0.46546,                0.87941,             0.00029514,             0.00029514,             0.00029514
                    135,                0.63448,                0.38137,                0.83789,                0.83551,                0.91099,                0.91076,                0.70377,                0.86349,                0.45765,                0.88521,              0.0002934,              0.0002934,              0.0002934
                    136,                0.62619,                0.38462,                0.84083,                0.83715,                0.88464,                0.92163,                0.71348,                0.83697,                0.44615,                0.87916,             0.00029167,             0.00029167,             0.00029167
                    137,                0.63556,                0.39501,                0.83678,                0.85266,                0.86517,                0.91609,                0.70911,                0.85433,                0.46583,                0.88322,             0.00028993,             0.00028993,             0.00028993
                    138,                0.61172,                0.38956,                0.84251,                0.79767,                 0.8515,                 0.8708,                  0.679,                0.83515,                0.47872,                0.87433,              0.0002882,              0.0002882,              0.0002882
                    139,                0.62277,                0.38919,                 0.8409,                0.78251,                0.92914,                0.90311,                 0.7075,                0.83256,                0.45844,                0.87799,             0.00028646,             0.00028646,             0.00028646
                    140,                0.58443,                0.36546,                0.82932,                0.88284,                0.87731,                0.90818,                0.70216,                0.85474,                0.43468,                0.88022,             0.00028472,             0.00028472,             0.00028472
                    141,                0.62027,                0.39087,                0.83566,                0.89434,                0.92196,                0.94259,                0.72556,                0.85465,                0.42362,                0.88009,             0.00028299,             0.00028299,             0.00028299
                    142,                0.58932,                0.36347,                0.82312,                0.86596,                0.92626,                0.95173,                 0.7299,                0.85373,                0.42611,                  0.884,             0.00028125,             0.00028125,             0.00028125
                    143,                0.60597,                0.37246,                0.83758,                0.93903,                0.81033,                 0.9481,                0.73532,                0.84316,                0.43497,                0.88066,             0.00027952,             0.00027952,             0.00027952
                    144,                0.60293,                 0.3844,                 0.8254,                0.90854,                0.87724,                0.93723,                0.72766,                0.85121,                0.44708,                 0.8824,             0.00027778,             0.00027778,             0.00027778
                    145,                0.62794,                0.38573,                0.84476,                0.88271,                0.88026,                 0.9306,                0.71798,                0.85089,                0.41678,                0.88239,             0.00027604,             0.00027604,             0.00027604
                    146,                0.58837,                0.36993,                0.83076,                0.94503,                0.84692,                0.95364,                0.74109,                 0.8544,                0.42241,                0.88452,             0.00027431,             0.00027431,             0.00027431
                    147,                0.62297,                0.38417,                0.84456,                0.85661,                0.89657,                0.92796,                0.72699,                0.86775,                0.43344,                0.88557,             0.00027257,             0.00027257,             0.00027257
