latitud,longitud,address
-17.3984563,-66.18211450000001,"Avenida Melchor Pérez de Olguín, Judicial, Cercado, Cochabamba, Bolivia"
-17.3984563,-66.18211450000001,"Avenida Melchor Pérez de Olguín, Judicial, Cercado, Cochabamba, Bolivia"
-17.3790309,-66.1737413,"Avenida Gabriel René Moreno, Venezuela, Cercado, Cochabamba, Bolivia"
-17.3791862,-66.17378670000001,"Parque Demetrio Canelas, Venezuela, Cercado, Cochabamba, Bolivia"
-17.3792379,-66.1738028,"Avenida Gabriel René Moreno, Venezuela, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3975135,-66.1820113,"Avenida Melchor Pérez de Olguín, Hipódromo Sud, Cercado, Cochabamba, Bolivia"
-17.4061903,-66.17729820000001,"Avenida Ingavi, Chimba Central, Cercado, Cochabamba, Bolivia"
-17.4061903,-66.17729820000001,"Avenida Ingavi, Chimba Central, Cercado, Cochabamba, Bolivia"
-17.406221,-66.17724940000001,"Avenida Ingavi, Chimba Central, Cercado, Cochabamba, Bolivia"
-17.4062643,-66.1771897,"Avenida Ingavi, Chimba Central, Cercado, Cochabamba, Bolivia"
-17.406776999999998,-66.1765249,"Avenida Ingavi, Villa Paraíso, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.408565,-66.1750209,"Avenida Ingavi, Villa Paraíso, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4126433,-66.1685058,"Avenida Rafael Pabón, Jorge Wilstermann, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.412810399999998,-66.1685351,"Avenida Rafael Pabón, Jorge Wilstermann, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4197749,-66.16714520000001,"Avenida Rafael Pabón, Fuerza Aérea, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4198604,-66.16714230000001,"Avenida Rafael Pabón, Fuerza Aérea, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4209561,-66.16659410000001,"Avenida de la Fuerza Aérea, Tercera Villa Sud, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4285621,-66.16411740000001,"Avenida de la Fuerza Aérea, Lindo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.428628800000002,-66.1640416,"Avenida de la Fuerza Aérea, Lindo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.429404100000003,-66.1595966,"Avenida Santa Bárbara, Lindo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4293917,-66.15953920000001,"Avenida Santa Bárbara, Lindo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.365362100000002,-66.17487820000001,"Avenida Melchor Pérez de Olguín, Barrio Petrolero Mayorazgo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3653295,-66.17487100000001,"Avenida Melchor Pérez de Olguín, Barrio Petrolero Mayorazgo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.365294000000002,-66.174863,"Avenida Melchor Pérez de Olguín, Barrio Petrolero Mayorazgo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.365219200000002,-66.1748463,"Avenida Melchor Pérez de Olguín, Barrio Petrolero Mayorazgo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3651917,-66.1748403,"Avenida Melchor Pérez de Olguín, Barrio Petrolero Mayorazgo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3651249,-66.17483150000001,"Avenida Melchor Pérez de Olguín, Barrio Petrolero Mayorazgo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.365222600000003,-66.17586730000001,"Avenida Simón López, Barrio Petrolero Mayorazgo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.365184900000003,-66.17596540000001,"Barrio Petrolero Mayorazgo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.365166300000002,-66.1760119,"Avenida Simón López, Barrio Petrolero Mayorazgo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.379056600000002,-66.1737859,"Avenida Gabriel René Moreno, Venezuela, Cercado, Cochabamba, Bolivia"
